din,brand_name,atc_description,prior_shortage_count,manufacturer_count,days_since_last_shortage,risk_score
2362406.0,APO-TAMSULOSIN CR,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,20,15.0,1758.0,0.901044928711483
2310546.0,RAN-RAMIPRIL,"ACE INHIBITORS, PLAIN",14,31.0,884.0,0.8975120395162367
2362597.0,POTASSIUM ACETATE INJECTION USP,I.V. SOLUTION ADDITIVES,16,27.0,1102.0,0.8966076314222189
2439379.0,"ROPIVACAINE HYDROCHLORIDE INJECTION, USP",Anesthetics. Local,16,6.0,973.0,0.8950399408721053
2354632.0,TEVA-ROSUVASTATIN,"LIPID MODIFYING AGENTS, PLAIN",16,30.0,966.0,0.8938342783675615
2354624.0,TEVA-ROSUVASTATIN,"LIPID MODIFYING AGENTS, PLAIN",16,30.0,884.0,0.890327698923319
2247014.0,APO-SIMVASTATIN,"LIPID MODIFYING AGENTS, PLAIN",15,38.0,975.0,0.8894670525994441
2460653.0,APO-METFORMIN ER,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",15,53.0,864.0,0.8884766167702239
2245247.0,APO-GLICLAZIDE,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",16,16.0,1067.0,0.8874939143118338
2471116.0,APO-ARIPIPRAZOLE,ANTIPSYCHOTICS,15,17.0,1088.0,0.8866971568964751
496480.0,TEVA-PROPRANOLOL,BETA BLOCKING AGENTS,13,16.0,960.0,0.8838444041200998
2440423.0,APO-DULOXETINE,ANTIDEPRESSANTS,18,27.0,766.0,0.8836178974429784
740675.0,TEVA-PROPRANOLOL,BETA BLOCKING AGENTS,13,16.0,800.0,0.8820556032559308
2245821.0,KETOROLAC,ANTIINFLAMMATORY AGENTS,16,23.0,975.0,0.8817428505962619
2337428.0,SANDOZ IRBESARTAN HCT,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",15,28.0,795.0,0.881732102931907
2244513.0,TEVA-GABAPENTIN,ANTIEPILEPTICS,13,37.0,920.0,0.8815417543450728
2443422.0,SANDOZ OLMESARTAN,"ANGIOTENSIN II ANTAGONISTS, PLAIN",14,18.0,865.0,0.8807977408119919
2374609.0,APO-MONTELUKAST,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,14,30.0,940.0,0.8789407258786154
583421.0,TEVA-CEPHALEXIN,OTHER BETA-LACTAM ANTIBACTERIALS,14,13.0,946.0,0.8781941209893382
2251531.0,APO-RAMIPRIL,"ACE INHIBITORS, PLAIN",14,31.0,766.0,0.8778937461331969
2452766.0,APO-METHYLPHENIDATE ER,PSYCHOSTIMULANTS AND NOOTROPICS,15,17.0,1151.0,0.875496519819149
2285940.0,APO-LEVETIRACETAM,ANTIEPILEPTICS,13,34.0,808.0,0.8749339129149198
2439654.0,ACT BUPROPION XL,ANTIDEPRESSANTS,16,14.0,863.0,0.8739849562002958
2243596.0,ASMANEX TWISTHALER,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",15,10.0,701.0,0.8739325152138919
